(56,264,2.000000)
(7,294,22.000000)
(251,292,34.000000)
(35,106,1.000000)
(276,288,7.000000)
(280,294,9.000000)
(7,104,7.000000)
(265,281,4.000000)
(109,273,11.000000)
(109,292,24.000000)
(7,285,3.000000)
(56,104,13.000000)
(2,253,1.000000)
(56,258,2.000000)
(16,105,3.000000)
(81,281,3.000000)
(13,266,1.000000)
(266,272,4.000000)
(108,272,2.000000)
(7,265,3.000000)
(7,293,2.000000)
(7,273,7.000000)
(99,105,28.000000)
(16,293,4.000000)
(104,258,1.000000)
(82,273,2.000000)
(0,82,2.000000)
(108,290,1.000000)
(99,109,84.000000)
(288,290,1.000000)
(108,268,2.000000)
(290,294,11996.000000)
(7,105,2.000000)
(264,266,2235.000000)
(251,265,4.000000)
(258,278,1426.000000)
(82,278,3.000000)
(265,272,832.000000)
(56,292,643.000000)
(16,99,8.000000)
(56,261,118.000000)
(99,264,1.000000)
(104,261,7.000000)
(261,265,3.000000)
(104,292,2.000000)
(261,263,2.000000)
(261,264,2.000000)
(253,268,1.000000)
(253,293,1.000000)
(261,292,6.000000)
(253,285,1.000000)
(109,253,1.000000)
(263,281,1.000000)
(108,281,1.000000)
(261,280,1.000000)
(265,266,1.000000)
(105,261,15.000000)
(108,263,1.000000)
(13,294,2.000000)
(251,257,8.000000)
(258,292,14.000000)
(13,280,5.000000)
(56,257,1.000000)
(272,292,1.000000)
(257,272,15.000000)
(278,294,1.000000)
(16,108,7.000000)
(108,297,14.000000)
(35,99,5.000000)
(276,297,10.000000)
(20,276,2.000000)
(265,273,1.000000)
(2,281,1.000000)
(293,297,44.000000)
(108,293,115.000000)
(258,273,2.000000)
(276,293,1.000000)
(253,290,1.000000)
(20,297,9.000000)
(264,272,2.000000)
(263,297,55.000000)
(263,293,7836.000000)
(109,280,4.000000)
(272,297,1.000000)
(276,290,3.000000)
(251,272,13.000000)
(251,264,1.000000)
(253,278,3.000000)
(105,272,2.000000)
(268,280,3.000000)
(280,293,5.000000)
(108,280,28.000000)
(263,292,344.000000)
(56,280,4.000000)
(265,280,7.000000)
(265,292,5.000000)
(263,280,1.000000)
(0,278,1.000000)
(99,251,1.000000)
(13,268,2.000000)
(35,285,50.000000)
(0,293,2.000000)
(82,292,1.000000)
(292,294,2.000000)
(101,251,1.000000)
(264,293,5.000000)
(256,292,10.000000)
(266,297,4.000000)
(294,297,1.000000)
(263,268,2.000000)
(268,297,1.000000)
(20,293,2.000000)
(273,294,1.000000)
(0,101,32.000000)
(82,290,2.000000)
(265,290,1.000000)
(56,99,1.000000)
(280,285,1.000000)
(280,292,2.000000)
(108,292,3.000000)
(46,104,55.000000)
(104,267,1.000000)
(104,280,1.000000)
(104,293,1.000000)
(108,109,2.000000)
(257,265,3.000000)
(263,285,1.000000)
(268,285,8.000000)
(0,290,1.000000)
(273,290,1.000000)
(16,285,1.000000)
(251,293,1.000000)
(251,261,47.000000)
(13,285,8.000000)
(290,292,10.000000)
(13,254,1.000000)
(32,281,1.000000)
(0,294,2.000000)
(281,293,1.000000)
(256,290,1.000000)
(20,294,1.000000)
(99,294,2.000000)
(7,101,2.000000)
(104,265,1.000000)
(82,99,3.000000)
(0,105,1.000000)
(58,258,4.000000)
(13,269,3.000000)
(285,290,5.000000)
(7,269,1.000000)
(101,294,9.000000)
